"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-04-2024 00:00","1712188803","0.925","0.075","0.007"
"04-11-2024 00:00","1712793603","0.915","0.065","0.013"
"04-18-2024 00:00","1713398403","0.905","0.06","0.012"
"04-25-2024 00:00","1714003203","0.905","0.045","0.012"
"05-02-2024 00:00","1714608003","0.905","0.065","0.012"
"05-09-2024 00:00","1715212803","0.915","0.065","0.0115"
"05-16-2024 00:00","1715817604","0.915","0.065","0.012"
"05-23-2024 00:00","1716422403","0.915","0.065","0.0115"
"05-30-2024 00:00","1717027203","0.915","0.065","0.0115"
"06-06-2024 00:00","1717632003","0.915","0.065","0.0115"
"06-13-2024 00:00","1718236803","0.915","0.065","0.0155"
"06-20-2024 00:00","1718841604","0.915","0.065","0.0125"
"06-27-2024 00:00","1719446402","0.925","0.06","0.0125"
"07-04-2024 00:00","1720051203","0.955","0.045","0.0075"
"07-11-2024 00:00","1720656003","0.955","0.045","0.0075"
"07-18-2024 00:00","1721260802","0.96","0.0345","0.0075"
"07-25-2024 00:00","1721865601","0.95","0.035","0.0075"
"08-01-2024 00:00","1722470402","0.945","0.0345","0.0085"
"08-08-2024 00:00","1723075201","0.9635","0.0345","0.0045"
"08-15-2024 00:00","1723680002","0.9805","0.0195","0.0035"
"08-22-2024 00:00","1724284802","0.98","0.0155","0.0035"
"08-29-2024 00:00","1724889602","0.9795","0.0185","0.003"
"09-05-2024 00:00","1725494402","0.979","0.0105","0.0025"
"09-12-2024 00:00","1726099202","0.981","0.0095","0.0035"
"09-19-2024 00:00","1726704001","0.9785","0.009","0.0035"
"09-26-2024 00:00","1727308802","0.9785","0.0075","0.0035"
"10-03-2024 00:00","1727913602","0.986","0.0055","0.002"
"10-10-2024 00:00","1728518402","0.9855","0.0035","0.003"
"10-17-2024 00:00","1729123202","0.9725","0.004","0.004"
"10-24-2024 00:00","1729728003","0.9775","0.0035","0.0035"
"10-31-2024 00:00","1730332803","0.9795","0.0055","0.0035"
"11-04-2024 05:43","1730698982","0.98","0.0085","0.0015"
